,id,createdtime,username,tweets
78,1405846856999915535,2021-06-18 11:16:24,Clear27239284,"@GoogolCoin I would like to get this airdrop opportunity, thank you
@1044763760L @JAmlcc4gampCwDV @Shannon2d2 @sl43793390 @aTOhPJE4Veb1gz2

#GOOG #Airdrop #BNB  #BSC"
79,1405845605235281924,2021-06-18 11:11:26,UQ4rhxWu0Gbg6Vm,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
80,1405842363138850817,2021-06-18 10:58:33,Httpvahit,"@GoogolCoin A good project and strong team, in a predictable and transparent road map, planned and projected.I think in the near future I will see an authentic growth of this project
@AleksandraStaks
@ALERUSIK
@VaRile_YokArasi
@alifakhari
@VladimirShipic1

#GOOG #Airdrop #BNB   #BSC   $GOOG"
81,1405825618080526337,2021-06-18 09:52:00,suhaylb7,"@GoogolCoin Leadership offers the opportunity to make a difference in someone's life, I will help this project to success
@Ardiiian_14 @Ridhoskyz1 @iksan4545 @Nabilaa82154898 @Nana448Nana 
#GOOG #Airdrop #BNB  #BSC  $GOOG"
82,1405824271134380034,2021-06-18 09:46:39,Majid6620,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
83,1405798829316706310,2021-06-18 08:05:34,DormanFredy,"@GoogolCoin Thanks for giving us such a great opportunity. I am supporting it. always success for the development. 
 #GOOG #Airdrop  #DeFi #Crypto #Doge 
@LunaAydina
@LisaSurihani
@zavtrashnij_den
@aglkeanu
@msozi"
84,1405789474890694659,2021-06-18 07:28:23,OguzcanZulkuf,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
85,1405788311847903233,2021-06-18 07:23:46,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/pXZqzid2zT
86,1405780764289945602,2021-06-18 06:53:47,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/uXezn0sNjj
87,1405764589157982208,2021-06-18 05:49:30,KeyYoungKim1,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
88,1405756855700230144,2021-06-18 05:18:46,Am00722588533,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
89,1405753840637407239,2021-06-18 05:06:47,609415477c570,"@GoogolCoin I am interested, and I will support this project 
@Minakashi20 
@Sajad_Razaq89 
@saber_khorasani 
@zahrabanoo99 
@HasanQau 

#GOOG  #Airdrop  #BNB   #BSC   $GOOG"
90,1405739962016825351,2021-06-18 04:11:38,mahmoudghalenov,"@GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy 🚀🚀

@bitmann007
@crypto1comm
@barui_paly
@AirCrypto8
@nclmlkyrc

#GOOG #Airdrop #BNB  #BSC  $GOOG"
91,1405739112343109633,2021-06-18 04:08:16,hoandung7,"@GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy 🚀🚀

@Cryptomoonsh0ts 
@cnnbrk 
@EyfiFinance 
@satisdoge 
@TrustWalletApp 
#GOOG #Airdrop #BNB  #BSC  $GOOG"
92,1405736737716899842,2021-06-18 03:58:50,LQuackitygf,"RT @WebullGlobal: 🥰🥰Don’t miss the opportunity to own a share of #GOOG, #FB or #SBUX! Open and fund a brokerage account and receive 2 FREE…"
93,1405728971778449409,2021-06-18 03:27:58,Trng98604253,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
94,1405727721477398531,2021-06-18 03:23:00,HoangHy1802,"@GoogolCoin A good project and strong team, in a predictable and transparent road map, planned and projected. I think in the near future I will see an unprecedented growth of this project.
@ducvt123 
@HoangLe1802 
@NgThien90 
@VuHien78 
@ducvt1982 
#GOOG #Airdrop #BNB  #BSC  $GOOG"
95,1405701953351565316,2021-06-18 01:40:37,tylerjo81205296,"RT @WebullGlobal: Don’t miss the opportunity to own a share of #GOOG, #FB or #SBUX! Open and fund a brokerage account and receive 2 FREE st…"
96,1405701287497191425,2021-06-18 01:37:58,SVAmerican1,"#WSJ: #Olympics  should move.

#GOOG translate in Chinese: Olympics should be held

#BigTech and #CCP propaganda in action? https://t.co/GuU83uwSLo"
97,1405698338742276096,2021-06-18 01:26:15,lilkrazylife,"RT @WebullGlobal: Pay $0 in commissions! Webull offers commission-free trades on #Stocks, #ETFs, and #Options! You may be able to claim a #…"
98,1405690169269891076,2021-06-18 00:53:47,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/mHdxG7NUuL
99,1405689990277828612,2021-06-18 00:53:04,TngcTr4,"@GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy 🚀🚀

@Mr_KenSG 
@kevenator 
@359990902 
@mikecryptolife 
@TngcTr4 

#GOOG #Airdrop #BNB   #BSC   $GOOG"
100,1405684690426662913,2021-06-18 00:32:01,MichaelBW80,"RT @MAlfy37905340: @GoogolCoin This project looks amazing. I am interested, and I will support this project until it is successful

@a_dyac…"
101,1405684387082031104,2021-06-18 00:30:48,MAlfy37905340,"@GoogolCoin This project looks amazing. I am interested, and I will support this project until it is successful

@a_dyachkow 
@TqoBlYN7QpOzfR 
@F6Leader 
@fatoshi21 
@moonmoo81104971 

#GOOG #Airdrop #BNB  #BSC  $GOOG"
102,1405682618037903367,2021-06-18 00:23:47,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/8yVxTkyB9T
103,1405669707512942597,2021-06-17 23:32:29,jodeci88888888,"@FreakyFrog44 Google
#Goog"
104,1405645187209125891,2021-06-17 21:55:02,Finscreener_com,"Technical analysis of #Alphabet #GOOG $GOOG 
https://t.co/Xtglfpm6bN"
