,id,createdtime,username,tweets
87,1406988260505800708,2021-06-21 14:51:56,Amanull03321733,"#CNBC  #cointelegraph  #coindesk #TenupNation #ShoaibAkhtarNFT 

Why this is not a big news that Pakistani crypto exchange is launching and first Pakistani NFT will be launched by @TenUpNation ."
88,1406987550238068746,2021-06-21 14:49:07,AdeelHayatKhan5,"@shoaib100mph @TenupNation #CNBC  #cointelegraph  #coindesk #TenupNation #ShoaibAkhtarNFT 

Why this is not a big news that Pakistani crypto exchange is launching and first Pakistani NFT will be launched by @TenUpNation ."
89,1406984171772338180,2021-06-21 14:35:41,MUHAMMA70332030,"#ShoaibAkhtarinCrypto This is big news for Pakistan.. One day https://t.co/zQAiZBTrRF will be the biggest exchange in the world ♥️♥️ 
#coinTelegram #coindesk https://t.co/w7u0G8Jstv"
90,1406981099792879619,2021-06-21 14:23:29,AbrarAh71726644,RT @ceekish: #ShoaibAkhtarInCrypto Great news for pakistanis should be highlighted around the globe as the fastest bowler is supporting cry…
91,1406979198468689920,2021-06-21 14:15:55,ceekish,#ShoaibAkhtarInCrypto Great news for pakistanis should be highlighted around the globe as the fastest bowler is supporting crypto in pakistan. #coindesk #cointelegraph #CNBC
92,1406976658318450691,2021-06-21 14:05:50,silwarsnake1,"Follow me and follow back
#cointelegrap
#CNBC
#coindesk
#shoaibakhtarincrypto
#waqarzaka https://t.co/toveec6C7x"
93,1406975452875526147,2021-06-21 14:01:02,RanaNom84269059,"what do you think that Pakistanis are not live in this world we are not coming from Mars so show equality to everyone 
#coindesk #CNBC #Cointelegraph #shoaibakhtarincrypto https://t.co/xrWJYpKisO"
94,1406975272654626817,2021-06-21 14:00:19,nomanshma,#ShoaibAkhterinCrypto where the hell is the news where the fastest bowler in the history of game said that he will be launching the Pakistan’s own exchange in collaboration with #waqarzaka  #coindesk  #cointelegraph #CNBC https://t.co/VERuKXRDT2
95,1406975210302095362,2021-06-21 14:00:05,BTCticker,One Bitcoin now worth $33150.576. Market Cap $621.239 Billion. Based on #coindesk BPI #bitcoin
96,1406963907441434626,2021-06-21 13:15:10,chiradio,RT @BTCticker: One Bitcoin now worth $32509.536. Market Cap $609.225 Billion. Based on #coindesk BPI #bitcoin
97,1406957824652058627,2021-06-21 12:51:00,ayyzeee7,"With all those big crypto news, and the prices are still going down and sinking. Manipulation??

#Bitcoin #BNB #Coinbase #cryptotwitter #coindesk #Cryptocurency #Dogecoin #dogearmy #ETC #ethereum #SAFEMOON #SHIBARMY https://t.co/Kt0mviZbQZ"
98,1406945013435621376,2021-06-21 12:00:05,BTCticker,One Bitcoin now worth $32509.536. Market Cap $609.225 Billion. Based on #coindesk BPI #bitcoin
99,1406914814904049669,2021-06-21 10:00:05,BTCticker,One Bitcoin now worth $33187.139. Market Cap $621.922 Billion. Based on #coindesk BPI #bitcoin
100,1406910285118574597,2021-06-21 09:42:05,BdOX_555,#bitcoin #nft #cryptotrade #cryptoart #coindesk My prediction has been achieved! Are you interested further? https://t.co/oO1c6xAH51
101,1406889087676604418,2021-06-21 08:17:51,Salmank07095352,"Heart touching moment in crypto world bring by @shoaib100mph on lunching #ShoaibAkhtarNFT as a bouncer in crypto world 
#elonmusk @TenupNation #coindesk #HamidMirPAK  #ImranKhanPTI"
102,1406884615403589632,2021-06-21 08:00:05,BTCticker,One Bitcoin now worth $33029.995. Market Cap $618.976 Billion. Based on #coindesk BPI #bitcoin
